Day,Sample,cell_count,mean_area,equivalent_diameter_area,perimeter,perimeter_crofton,axis_major_length,axis_minor_length,solidity,eccentricity,extent,feret_diameter_max,num_pixels,roundness(circularity),porosity(Rs),ics_area,ics_ratio,equivalent_diameter_area_um,perimeter_um,perimeter_crofton_um,axis_major_length_um,axis_minor_length_um,feret_diameter_max_um,mean_area_um2,ics_area_um2,num_pixels_um2
NB-D1,D1-01,418.7692307692308,1552.9458246462164,41.658251233847,149.4783063774464,144.60767657788128,50.50712380795301,36.066781633321355,0.9406360662447389,0.6605340038311138,0.6769650788922786,53.291765976401166,1552.9458246462164,0.8183270011865875,0.9621641945498448,25312.153846153848,0.03783580545015517,67.77508298514265,243.19082820689138,235.2666516253448,82.17158440495524,58.67815008564965,86.70200391275156,4110.497153642712,66998.81907399112,4110.497153642712
NB-D1,D1-02,507.0,1270.445648312111,37.68900854881889,135.23188990290035,131.09266981563468,45.866353207413056,32.55798265779726,0.9365544377820596,0.6632258043994654,0.6741152403075948,48.412105609393244,1270.445648312111,0.8174619695437313,0.9600977204783259,26694.625,0.0399022795216741,61.31740066775873,220.01289753997088,213.27867378839233,74.62137278418865,52.96957772121225,78.76313522484644,3362.7465545582613,70658.08628904182,3362.7465545582613
NB-D1,D1-03,244.9090909090909,2519.1714363838405,53.352704756984146,191.1245520212556,184.2223027181027,64.293890090643,46.24282871755383,0.9497545991981954,0.6502550122728592,0.6922452572029668,67.5095253954218,2519.1714363838405,0.8254415876301089,0.9121583095529284,58766.09090909091,0.08784169044707156,86.80114707859981,310.94637893042926,299.71689844457427,104.6016961170592,75.23387230555439,109.83331153960634,6668.002743207623,155548.1495740892,6668.002743207623
NB-D1,D1-04,345.7857142857143,1779.9590184005024,45.25383288070396,159.327432304594,153.97454863777025,53.15792624975835,39.90675705548407,0.9541182765174903,0.6209648717266865,0.7014847803556019,55.82528209531534,1779.9590184005024,0.847829253519481,0.9164176809737349,55916.57142857143,0.08358231902626516,73.62484473168446,259.2146723979599,250.50590225078602,86.48425596819656,64.92552353963973,90.82385877026158,4711.379085231611,148005.74756106784,4711.379085231611
NB-D1,D1-05,452.53846153846155,1396.5588449795641,39.906499206709015,142.36496211449654,137.91067179102103,47.869332044337156,34.812205984728536,0.9421202058874569,0.6449647971673895,0.6832678347331705,50.53728284913495,1396.5588449795641,0.8256363636882207,0.9307703805910084,46314.61538461538,0.06922961940899157,64.92510403758169,231.61791087493177,224.37108972013044,77.88008031197171,56.6370425937098,82.22065107142149,3696.5559687124523,122590.30011809261,3696.5559687124523
NB-D1,D1-06,522.5,1205.7099766353003,37.27897980992594,132.01160784841238,128.05536437621893,44.15927324155693,32.817841869258714,0.9439938680737205,0.6273907352768391,0.6865844211054146,46.657888822413824,1205.7099766353003,0.8365677431210141,0.9302156950672644,46685.7,0.06978430493273538,60.65031237236279,214.77372217820826,208.3371886777458,71.84407217935265,53.39235061972854,75.9091462841186,3191.3975030050306,123572.52514557968,3191.3975030050306
NB-D1,D1-07,407.6666666666667,1520.178764676146,42.024824673820724,150.5351925545301,145.69770021098736,50.52393491946021,36.578910470003436,0.9404540602793565,0.6500907095260868,0.6794206636889474,53.534403672887244,1520.178764676146,0.8206716613203832,0.9203664673642252,53274.833333333336,0.07963353263577476,68.3714725257142,244.91030865160823,237.04004441072195,82.19893491640799,59.511348152711356,87.09675860186121,4023.765920265077,141013.32274572083,4023.765920265077
NB-D1,D1-08,288.53333333333336,2121.2338139153826,49.52393942644918,176.7221921013883,170.52828920922806,59.026827077126136,43.361389368271496,0.9489619411352209,0.6359727913196367,0.6884774172350216,62.236613827791935,2121.2338139153826,0.830171045293298,0.9103353263577479,59985.666666666664,0.08966467364225209,80.57201166552211,287.5147391030279,277.4376890568898,96.03255021544147,70.54597050386775,101.25465044643326,5614.7004073991075,158776.2484559732,5614.7004073991075
NB-D1,D1-09,444.0769230769231,1450.3251626766355,40.10429390534269,145.86927296628457,141.19193052424984,49.817731386894586,34.24804915334414,0.932801362393276,0.6820719966136497,0.6641692674087195,52.5277545590901,1450.3251626766355,0.8013894062218594,0.9554813153961136,29783.0,0.04451868460388635,65.24690228203194,237.3191813736007,229.7094699054134,81.04999079114074,55.71919859087162,85.45901037182774,3838.8702029556257,78832.71572260455,3838.8702029556257
NB-D1,D1-10,327.4166666666667,1930.3234913633833,47.46046900537064,169.93042101474325,164.1323034522014,56.65076057101919,41.582753973593306,0.943966782586419,0.6371535983502712,0.6860245053277915,59.96711757424303,1930.3234913633833,0.8247814734329464,0.9368850274040857,42223.916666666664,0.06311497259591425,77.2148885294372,276.4649990064139,267.03186421751036,92.16685494835899,67.65225418346968,97.56233758252279,5109.379278357287,111762.61690488795,5109.379278357287
NB-D1,D1-11,409.54545454545456,1614.245855536464,42.30064046285856,152.74209180960335,147.68975522886404,51.927770799529256,36.3378871139179,0.9372303854190286,0.6713285443150836,0.6735508172755899,54.65533620087162,1614.245855536464,0.8107272496773039,0.9638507949449654,24183.81818181818,0.03614920505503459,68.82020566829662,248.50078054426677,240.28097964320875,84.48287844382845,59.11921988337147,88.92043801361628,4272.752396867295,64012.22387987873,4272.752396867295
NB-D1,D1-12,333.14285714285717,1836.0039074577187,46.361983502795134,165.74372947865098,160.13855514557721,55.27794918530776,40.622630442231696,0.944572300581288,0.6365648186889112,0.6827741149863801,58.44072725650046,1836.0039074577187,0.8267459242673009,0.9119496049540893,58905.71428571428,0.08805039504591071,75.42772886982719,269.6535425028989,260.5343129548855,89.93338611964482,66.09019984641314,95.07900649231449,4859.72447712472,155917.7191257657,4859.72447712472
NB-D1,D1-13,286.0,2144.3820754925405,49.45043907614926,176.293991038166,170.11151849340735,59.1977203871868,43.03401707407037,0.9512537239797564,0.6390096481781068,0.6940957895224749,62.28021607344982,2144.3820754925405,0.8336953401801994,0.9057562459961562,63049.07142857143,0.09424375400384365,80.4524316977253,286.8180856974083,276.7596320330371,96.31058176808517,70.01335850625969,101.32558827340092,5675.971613267709,166884.78408833095,5675.971613267709
NB-D1,D1-14,505.6666666666667,1289.6253786924638,38.11523473020189,136.17000344416687,131.95416713602967,45.894076692538,33.31307272439652,0.9404374784939837,0.6439604718866719,0.6805516783113206,48.34834825510611,1289.6253786924638,0.8260303847808114,0.9686569008470354,20968.533333333333,0.031343099152964564,62.01084107771531,221.5391431510004,214.68027012649802,74.66647697001808,54.198056843817405,78.65940643523723,3413.5134428069446,55501.67637197812,3413.5134428069446
NB-D1,D1-15,399.77777777777777,1617.0610348480925,42.85597749113446,153.89337472907584,148.79740461577202,51.93031381784888,37.09875006996037,0.9420446111432812,0.660541926332582,0.6751577250389875,54.92503469155271,1617.0610348480925,0.8173140194244075,0.9621207440624482,25341.222222222223,0.03787925593755188,69.72370046371763,250.37383793615334,242.08304830650235,84.4870157581069,60.35709109636663,89.35921873641402,4280.203903780023,67075.76024939709,4280.203903780023
NB-D1,D1-16,430.3333333333333,1519.2986884403992,41.06446052861427,150.78419591935463,145.8588068368589,51.06821082004503,35.136263366144476,0.9249292475865275,0.6821928926395601,0.66025930460681,53.96271511707621,1519.2986884403992,0.791856723799763,0.9591484803188838,27329.666666666668,0.040851519681116034,66.8090267266347,245.3154198412217,237.30215370754777,83.08443402490099,57.16426145832619,87.79359158965133,4021.4364437278964,72338.98005999648,4021.4364437278964
